Date,Team,Acquired,Relinquised,Notes
2012-02-03,Thunder,,Thabo Sefolosha,sore right foot (DNP)
2012-02-04,Bobcats,,DeSagana Diop,right knee inflammation (DNP)
2012-02-04,Bobcats,,Gerald Henderson (b),strained right hamstring (DNP)
2012-02-04,Hawks,,Jason Collins,sprained left elbow (DNP)
2012-02-04,Hornets,,Jarrett Jack,sore left knee (DNP)
2012-02-04,Nets,,MarShon Brooks,fractured right little toe (DNP)
2012-02-04,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-04,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-04,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-04,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-02-04,Pistons,,Will Bynum,strained right foot (DNP)
2012-02-04,Suns,,Jared Dudley,bruised thigh (DNP)
2012-02-04,Thunder,,Thabo Sefolosha,sore right foot (DNP)
2012-02-05,Celtics,,Brandon Bass,sore left knee (DNP)
2012-02-05,Grizzlies,,Tony Allen,hip injury (DTD)
2012-02-06,Bulls,,Richard Hamilton,right thigh injury (DNP) (Fox)
2012-02-06,Grizzlies,,Tony Allen,sore left hip/knee (DNP)
2012-02-06,Hawks,,Jason Collins,sprained left elbow (DNP)
2012-02-06,Hornets,,DaJuan Summers,right knee injury (DNP)
2012-02-06,Hornets,,Jarrett Jack,sore left knee (DNP)
2012-02-06,Hornets,,Jason Smith,concussion (DNP)
2012-02-06,Nets,,MarShon Brooks,fractured right little toe (DNP)
2012-02-06,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-06,Nuggets,,Arron Afflalo,sprained left ankle (DNP)
2012-02-06,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left heel (DNP)
2012-02-06,Nuggets,,Timofey Mozgov,sprained left ankle (DNP) (Fox)
2012-02-06,Thunder,,Thabo Sefolosha,sore right foot (DNP)
2012-02-06,Wizards,,Rashard Lewis,sore left (P) / right (CBC) knee (DNP)
2012-02-07,Clippers,,Chauncey Billups,torn left Achilles tendon (out for season)
2012-02-07,Knicks,,Carmelo Anthony,strained right groin (out indefinitely)
2012-02-07,Nuggets,,Danilo Gallinari,chip fracture in left ankle (out indefinitely)
2012-02-07,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-07,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-07,Warriors,,Nate Robinson,strained left groin (DNP)
2012-02-08,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-08,Bucks,,Ersan Ilyasova,back spasms (DNP)
2012-02-08,Bulls,,Richard Hamilton,right thigh injury (DNP) (Fox)
2012-02-08,Cavaliers,,Kyrie Irving,concussion (DNP)
2012-02-08,Hawks,,Jason Collins,sprained left elbow (DNP)
2012-02-08,Hornets,,Jason Smith,concussion (DNP)
2012-02-08,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-08,Nets,,DeShawn Stevenson,sore right knee (DNP) (P Fox)
2012-02-08,Nets,,MarShon Brooks,fractured right little toe (DNP)
2012-02-08,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-08,Nuggets,,Danilo Gallinari,sprained left ankle (DNP)
2012-02-08,Nuggets,,Timofey Mozgov,sprained left ankle (DNP) (Fox)
2012-02-08,Pacers,,George Hill,chip fracture in left ankle (DNP)
2012-02-08,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-08,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2012-02-08,Wizards,,Rashard Lewis,sore left (P) / right (CBC) knee (DNP)
2012-02-09,Nets,,Keith Bogans,fractured left ankle / torn ligament in left ankle (out for season)
2012-02-09,Nuggets,,Danilo Gallinari,sprained left ankle (DNP)
2012-02-09,Nuggets,,Timofey Mozgov,sprained left ankle (DNP) (Fox)
2012-02-10,Bucks,,Larry Sanders,illness (DNP)
2012-02-10,Bulls,,Derrick Rose,strained lower back (DNP)
2012-02-10,Bulls,,Richard Hamilton,right thigh injury (DNP) (Fox)
2012-02-10,Celtics,,Jermaine O'Neal,sore left shoulder (DNP)
2012-02-10,Hornets,,Chris Kaman,sprained left ankle (DTD)
2012-02-10,Hornets,,Jarrett Jack,sore left knee (CBC Fox) / ankle (DNP)
2012-02-10,Hornets,,Jason Smith,concussion (DNP)
2012-02-10,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-10,Nets,,DeShawn Stevenson,sore right knee (DNP) (P Fox)
2012-02-10,Nets,,Keith Bogans,fractured left ankle / torn ligament in left ankle (DNP)
2012-02-10,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-10,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2012-02-10,Wizards,,Rashard Lewis,sore left (P) / right (CBC) knee (DNP)
2012-02-11,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-11,Bucks,,Larry Sanders,illness (DNP)
2012-02-11,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-11,Nets,,DeShawn Stevenson,sore right knee (DNP) (P Fox)
2012-02-11,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-11,Nuggets,,Danilo Gallinari,sprained left ankle (DNP)
2012-02-11,Pacers,,George Hill,chip fracture in left ankle / sprained left ankle (DNP) (Fox P)
2012-02-11,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-12,Bulls,,Derrick Rose,strained lower back (DNP)
2012-02-12,Bulls,,Richard Hamilton,right thigh injury (DNP) (Fox)
2012-02-12,Rockets,,Hasheem Thabeet,lower back injury (DNP)
2012-02-12,Warriors,,Dominic McGuire,strained/sore left knee (DNP)
2012-02-12,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2012-02-13,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-13,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-02-13,Hornets,,Jarrett Jack,bruised left knee (DNP)
2012-02-13,Hornets,,Jason Smith,concussion (DNP)
2012-02-14,Bulls,,Derrick Rose,strained lower back (DNP)
2012-02-14,Clippers,,Chauncey Billups,surgery to repair torn left Achilles tendon (out for season)
2012-02-14,Kings,,Jimmer Fredette,stomach virus (DNP)
2012-02-14,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-14,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
2012-02-14,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left calf (DNP)
2012-02-14,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-14,Suns,,Grant Hill,rest (DNP)
2012-02-14,Suns,,Steve Nash,rest (DNP)
2012-02-14,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2012-02-15,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-15,Celtics,,Kevin Garnett,sore left hip (DNP)
2012-02-15,Grizzlies,,Sam Young,sprained right ankle (DNP)
2012-02-15,Hawks,,Tracy McGrady,rest (DNP)
2012-02-15,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-02-15,Hornets,,Jarrett Jack,bruised left knee (DNP)
2012-02-15,Hornets,,Jason Smith,concussion (DNP)
2012-02-15,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-15,Nets,,Jordan Farmar,strained right groin (DNP)
2012-02-15,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-15,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (F P)
2012-02-15,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left calf (DNP)
2012-02-15,Pacers,,Danny Granger,sprained left ankle (DNP)
2012-02-15,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-15,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-15,Raptors,,Linas Kleiza,sore left knee (DNP)
2012-02-15,Rockets,,Hasheem Thabeet,sore back (DNP)
2012-02-16,Bulls,,Derrick Rose,strained lower back (DNP)
2012-02-16,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-16,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-17,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-17,Bucks,,Drew Gooden,sprained right wrist (DNP)
2012-02-17,Cavaliers,,Daniel Gibson,sprained left ankle (DNP) (P)
2012-02-17,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-02-17,Hornets,,Jason Smith,concussion (DNP)
2012-02-17,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-17,Mavericks,,Delonte West,surgery on broken right ring finger to insert pins (out indefinitely)
2012-02-17,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
2012-02-17,Thunder,,Kendrick Perkins,bruised right knee (DNP)
2012-02-18,Bulls,,Derrick Rose,strained lower back (DNP)
2012-02-18,Grizzlies,,Sam Young,sprained right ankle (DNP)
2012-02-18,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-19,Bucks,,Drew Gooden,sprained right wrist (DNP)
2012-02-19,Bucks,,Tobias Harris,bruised right shoulder (DNP)
2012-02-19,Cavaliers,,Daniel Gibson,sprained left ankle (DNP) (P)
2012-02-19,Knicks,,Bill Walker,sore left elbow (DNP)
2012-02-19,Knicks,,Carmelo Anthony,strained right groin (DNP)
2012-02-19,Magic,,Jason Richardson,chest pain (DNP)
2012-02-19,Nets,,Jordan Farmar,strained right groin (DNP)
2012-02-19,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-19,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
2012-02-19,Nuggets,,Rudy Fernandez,strained lower back (DNP)
2012-02-19,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-19,Rockets,,Hasheem Thabeet,sore lower back (DNP)
2012-02-19,Thunder,,Lazar Hayward,fractured orbital floor (DNP)
2012-02-20,Blazers,,Greg Oden,microfracture surgery on left knee (out indefinitely)
2012-02-20,Bucks,,Drew Gooden,sprained right wrist (DNP)
2012-02-20,Bucks,,Tobias Harris,bruised right shoulder (DNP)
2012-02-20,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-02-20,Hornets,,Jason Smith,concussion (DNP)
2012-02-20,Knicks,,Bill Walker,sore left elbow (DNP)
2012-02-20,Nets,,Jordan Farmar,strained right groin (DNP)
2012-02-20,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-20,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (F P)
2012-02-20,Nuggets,,Rudy Fernandez,strained lower back (DNP)
2012-02-20,Thunder,,James Harden,sprained left ankle (DNP)
2012-02-20,Thunder,,Lazar Hayward,fractured orbital floor (DNP)
2012-02-20,Thunder,,Nick Collison,bruised left quadriceps (DNP)
2012-02-20,Warriors,,Andris Biedrins,flu-like symptoms (DNP)
2012-02-20,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2012-02-21,76ers,,Elton Brand,sprained right thumb (DNP)
2012-02-21,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-02-21,Hornets,,Jason Smith,concussion (DNP)
2012-02-21,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-21,Spurs,,(William) Tony Parker,rest (DNP)
2012-02-21,Spurs,,Tim Duncan,rest (DNP)
2012-02-22,76ers,,Elton Brand,sprained right thumb (DNP)
2012-02-22,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-22,Bucks,,Drew Gooden,sprained right wrist (DNP)
2012-02-22,Bucks,,Stephen Jackson,sore right hamstring (DNP)
2012-02-22,Bucks,,Tobias Harris,bruised right shoulder (DNP)
2012-02-22,Bulls,,C.J. Watson,DNP (P)
2012-02-22,Celtics,,Chris Wilcox,strained right abductor (P) / adductor (CBC F) (DNP)
2012-02-22,Hawks,,Jason Collins,sprained left elbow (DNP)
2012-02-22,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-02-22,Hornets,,Jason Smith,concussion (DNP)
2012-02-22,Jazz,,Jamaal Tinsley,stomach flu (DNP)
2012-02-22,Knicks,,Bill Walker,sore left elbow (DNP)
2012-02-22,Nets,,Jordan Farmar,strained right groin (DNP)
2012-02-22,Nets,,Kris Humphries,strained left calf (DNP) (P)
2012-02-22,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-22,Nets,,Shawne Williams,surgery on left foot to remove bone fragment (out for season)
2012-02-22,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (F P)
2012-02-22,Nuggets,,Rudy Fernandez,strained lower back (DNP)
2012-02-22,Nuggets,,Ty Lawson,sprained left ankle (DNP)
2012-02-22,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-22,Rockets,,Terrence Williams,DNP (P)
2012-02-22,Thunder,,Lazar Hayward,fractured orbital floor (DNP)
2012-02-22,Thunder,,Nick Collison,bruised left quadriceps (DNP)
2012-02-22,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2012-02-23,Hawks,,Jason Collins,sprained left elbow (DNP)
2012-02-23,Knicks,,Bill Walker,sore left elbow (DNP)
2012-02-23,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
2012-02-23,Nuggets,,Rudy Fernandez,strained lower back (DNP)
2012-02-23,Nuggets,,Ty Lawson,sprained left ankle (DNP)
2012-02-23,Thunder,,Lazar Hayward,fractured orbital floor (DNP)
2012-02-23,Thunder,,Nick Collison,bruised left quadriceps (DNP)
2012-02-24,Bulls,Dwyane Wade,,returned to lineup
2012-02-28,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-28,Bucks,,Stephen Jackson,sore right hamstring (DNP)
2012-02-28,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-02-28,Hornets,,Jason Smith,concussion (DNP)
2012-02-28,Nets,,Jordan Farmar,strained right groin (DNP)
2012-02-28,Spurs,,Kawhi Leonard,strained right calf (DNP)
2012-02-28,Warriors,,Stephen Curry,right foot injury (DNP)
2012-02-28,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2012-02-28,Wizards,,Rashard Lewis,sore left knee (DNP)
2012-02-29,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-02-29,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sore left shoulder (DNP)
2012-02-29,Bucks,,Stephen Jackson,sore right hamstring (DNP)
2012-02-29,Hawks,,Jason Collins,sprained left elbow (DNP)
2012-02-29,Hawks,,Vladimir Radmanovic,illness (DNP)
2012-02-29,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-02-29,Hornets,,Jason Smith,concussion (DNP)
2012-02-29,Jazz,,Jamaal Tinsley,stomach flu (DNP)
2012-02-29,Jazz,,Paul Millsap,bruised left heel (DNP) (P)
2012-02-29,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
2012-02-29,Nuggets,,Rudy Fernandez,strained lower back (DNP)
2012-02-29,Thunder,,Lazar Hayward,fractured orbital floor (DNP)
2012-02-29,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2012-02-29,Wizards,,Rashard Lewis,sore left knee (DNP)
2012-03-02,Bucks,,Stephen Jackson,sore right hamstring (DNP)
2012-03-02,Cavaliers,,Kyrie Irving,illness (DNP)
2012-03-02,Hawks,,Jason Collins,sprained left elbow (DNP)
2012-03-02,Hawks,,Willie Green,lower back spasms (DNP)
2012-03-02,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-03-02,Hornets,,Jason Smith,concussion (DNP)
2012-03-02,Hornets,,Trevor Ariza,illness (DNP)
2012-03-02,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
2012-03-02,Nuggets,,Rudy Fernandez,strained lower back (DNP)
2012-03-02,Warriors,,Stephen Curry,right foot injury (DNP)
2012-03-03,Bucks,,Stephen Jackson,sore right hamstring (DNP)
2012-03-03,Hawks,,Jason Collins,sprained left elbow (DNP)
2012-03-03,Hawks,,Willie Green,lower back spasms (DNP)
2012-03-03,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
2012-03-03,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-03-03,Hornets,,Jason Smith,concussion (DNP)
2012-03-03,Hornets,,Trevor Ariza,illness (DNP)
2012-03-03,Mavericks,,Brandan Wright,concussion (DNP)
2012-03-03,Pacers,,Jeff Foster,sore lower back (DNP)
2012-03-03,Thunder,,Thabo Sefolosha,sore right foot (DNP) (F)
2012-03-03,Wizards,,Nick Young,bruised right knee (DNP)
2012-03-03,Wizards,,Rashard Lewis,sore left knee (DNP)
2012-03-04,Nets,,Mehmet Okur,sore lower back (DNP) (F)
2012-03-04,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
2012-03-04,Nuggets,,Rudy Fernandez,strained lower back (DNP) (P)
2012-03-04,Warriors,,Stephen Curry,right foot injury (DNP)
2012-03-05,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sore right knee (DNP)
2012-03-05,Bucks,,Stephen Jackson,sore right hamstring (DNP)
2012-03-05,Bulls,,C.J. Watson,left ankle injury (DNP)
2012-03-05,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-03-05,Hornets,,Jason Smith,concussion (DNP)
2012-03-05,Nuggets,,Rudy Fernandez,strained lower back (DNP) (P)
2012-03-05,Pacers,,Jeff Foster,sore lower back (DNP)
2012-03-05,Raptors,,Amir Johnson,right knee injury (DTD)
2012-03-05,Wizards,,Rashard Lewis,sore left knee (DNP)
2012-03-06,Hawks,,Jason Collins,sprained left elbow (DNP)
2012-03-06,Mavericks,,Brendan Haywood,sprained left ankle (DNP)
2012-03-06,Nets,,Brook Lopez,sprained right ankle (DNP) (F P)
2012-03-06,Nets,,Mehmet Okur,sore lower back (DNP) (F)
2012-03-06,Pacers,,Jeff Foster,sore lower back (DNP)
2012-03-07,76ers,,Thaddeus Young,upper respiratory infection (DNP)
2012-03-07,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sore right knee (DNP)
2012-03-07,Bucks,,Stephen Jackson,sore right hamstring (DNP)
2012-03-07,Bulls,,C.J. Watson,sprained left ankle (DNP)
2012-03-07,Bulls,,Richard Hamilton,right shoulder injury (DNP)
2012-03-07,Cavaliers,,Anderson Varejao,fractured bone in right wrist (DNP) (F)
2012-03-07,Clippers,,Ryan Gomes,illness (DTD)
2012-03-07,Hawks,,Tracy McGrady,rest (DNP)
2012-03-07,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
2012-03-07,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-03-07,Hornets,,Gustavo Ayon,sore left foot (DNP)
2012-03-07,Hornets,,Jason Smith,concussion (DNP)
2012-03-07,Kings,,DeMarcus Cousins,food poisoning (DNP)
2012-03-07,Knicks,,Jared Jeffries,sore right knee (DTD)
2012-03-07,Knicks,,Tyson Chandler,hamstring injury (DNP)
2012-03-07,Nets,,Brook Lopez,sprained right ankle (DNP) (P)
2012-03-07,Nets,,Mehmet Okur,sore lower back (DNP) (F)
2012-03-07,Nuggets,,Timofey Mozgov,sprained left ankle (DTD)
2012-03-07,Wizards,,Rashard Lewis,sore left knee (DNP)
2012-03-08,Bulls,,C.J. Watson,sore left ankle (DNP)
2012-03-08,Bulls,,Richard Hamilton,sore right shoulder (DNP)
2012-03-08,Mavericks,,Brendan Haywood,sprained left ankle (DNP)
2012-03-09,Bucks,,Stephen Jackson,sore right hamstring (DNP)
2012-03-09,Cavaliers,,Anderson Varejao,fractured bone in right wrist (DNP) (F)
2012-03-09,Clippers,,Kenyon Martin,sore ribs (DNP)
2012-03-09,Hawks,,Willie Green,lower back spasms (DNP)
2012-03-09,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
2012-03-09,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-03-09,Hornets,,Jason Smith,concussion (DNP)
2012-03-09,Knicks,,Tyson Chandler,strained hamstring (DNP)
2012-03-09,Mavericks,,Brendan Haywood,sprained left ankle (DNP)
2012-03-09,Nets,,Brook Lopez,sprained right ankle (DNP) (F P)
2012-03-09,Nets,,Mehmet Okur,sore lower back (DNP) (F)
2012-03-09,Spurs,,T.J. Ford,head injury (DNP) (P)
2012-03-09,Timberwolves,,Kevin Love,back spasms (DNP)
2012-03-09,Timberwolves,,Ricky Rubio,torn ACL in left knee (out for season)
2012-03-10,Bulls,,Joakim Noah,illness (DNP)
2012-03-10,Bulls,,Luol Deng,torn ligament in left wrist (DNP)
2012-03-10,Bulls,,Richard Hamilton,right shoulder injury (DNP)
2012-03-10,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
2012-03-10,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-03-10,Hornets,,Jason Smith,concussion (DNP)
2012-03-10,Jazz,,Devin Harris,stomach flu (DNP)
2012-03-10,Mavericks,,Brendan Haywood,sprained left ankle (DNP)
2012-03-10,Mavericks,,Jason Kidd,rest (DNP)
2012-03-10,Nets,,Brook Lopez,sprained right ankle (DNP) (F P)
2012-03-10,Nets,,Deron Williams,strained right calf (DNP)
2012-03-10,Nets,,Mehmet Okur,sore lower back (DNP) (F)
2012-03-10,Pacers,,George Hill,sprained left shoulder (DNP)
2012-03-10,Pacers,,Jeff Foster,sore lower back (DNP)
2012-03-10,Timberwolves,,Kevin Love,back spasms (DNP)
2012-03-10,Wizards,,Rashard Lewis,sore left knee (DNP) (P)
2012-03-11,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sore right knee (DNP)
2012-03-11,Bucks,,Shaun Livingston,sprained left ankle (DNP)
2012-03-11,Bucks,,Stephen Jackson,sore right hamstring (DNP)
2012-03-11,Cavaliers,,Anderson Varejao,fractured bone in right wrist (DNP) (F)
2012-03-11,Nuggets,,Kosta Koufos,strained left knee (DNP) (F P)
2012-03-11,Pacers,,George Hill,sprained left shoulder (DNP)
2012-03-11,Pacers,,Jeff Foster,sore lower back (DNP)
2012-03-12,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sore right knee (DNP)
2012-03-12,Bucks,,Shaun Livingston,sprained left ankle (DNP)
2012-03-12,Bucks,,Stephen Jackson,sore right hamstring (DNP)
2012-03-12,Bulls,,Luol Deng,torn ligament in left wrist (DNP)
2012-03-12,Bulls,,Richard Hamilton,right shoulder injury (DNP)
2012-03-12,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
2012-03-12,Hornets,,Emeka Okafor,sore left knee (DNP)
2012-03-12,Hornets,,Jason Smith,concussion (DNP)
2012-03-12,Nets,,Brook Lopez,sprained right ankle (DNP) (F P)
2012-03-12,Nets,,Deron Williams,strained right calf (DNP)
2012-03-12,Nets,,Mehmet Okur,sore lower back (DNP) (F)
2012-03-12,Wizards,,Rashard Lewis,sore left knee (DNP) (P)
2012-03-12,Wizards,,Ronny Turiaf,fractured left hand (DNP) (F)
